"# SampleDate for Testing RemoveCatalogAndCatalogVersions";;;;;;;;
;;;;;;;;
;;;;;;;;
;"Product-B-5555";"CatalogB:CatalogVersionB1";"Product-B-5555";"Product-B-5555";"kg";"CategoryB1-1:CatalogB:CatalogVersionB1, CategoryB1-11:CatalogB:CatalogVersionB1, CategoryB1-111:CatalogB:CatalogVersionB1, CategoryB1-1111:CatalogB:CatalogVersionB1";"approved";
;"Product-AB-inA";"CatalogA:CatalogVersionA1";"Product-AB-inA";"Product-AB-inA";"kg";"CategoryA1-1:CatalogA:CatalogVersionA1, CategoryB1-1:CatalogB:CatalogVersionB1";"approved";
;"Product-AB-inB";"CatalogB:CatalogVersionB1";"Product-AB-inB";"Product-AB-inB";"kg";"CategoryA1-1:CatalogA:CatalogVersionA1, CategoryB1-1:CatalogB:CatalogVersionB1";"approved";
;"Product-AB-inC";"CatalogC:CatalogVersionC1";"Product-AB-inC";"Product-AB-inC";"kg";"CategoryA1-1:CatalogA:CatalogVersionA1, CategoryB1-1:CatalogB:CatalogVersionB1";"approved";
;"Product-AB-nowhere";;"Product-AB-nowhere";"Product-AB-nowhere";"kg";"CategoryA1-1:CatalogA:CatalogVersionA1, CategoryB1-1:CatalogB:CatalogVersionB1";"approved";
;"Product-A2-2";"CatalogA:CatalogVersionA2";"Product-A2-2";"Product-A2-2";"kg";"CategoryA2-1:CatalogA:CatalogVersionA2";"approved";
;;;;;;;;
;;;;;;;;
"INSERT_UPDATE Keyword";"keyword[unique=true]";"language(isocode)[unique=true]";"catalogVersion(catalog(id),version)[unique=true,allowNull=true]";"products(code, catalogVersion(catalog(id),version))";"categories(code, catalogVersion(catalog(id),version))";;;
;"A1-De";"de";"CatalogA:CatalogVersionA1";;;;;
;"A1-En";"en";"CatalogA:CatalogVersionA1";;;;;
;"A1-De-Product-A1-1";"de";"CatalogA:CatalogVersionA1";"Product-A1-1:CatalogA:CatalogVersionA1";;;;
;"A1-De-CategoryA1-1";"de";"CatalogA:CatalogVersionA1";;"CategoryA1-1:CatalogA:CatalogVersionA1";;;
;"A2-de-prod-a1+cat-a1";"de";"CatalogA:CatalogVersionA2";"Product-A1-1:CatalogA:CatalogVersionA1";"CategoryA1-1:CatalogA:CatalogVersionA1";;;
;"B1-keyword1";"en";"CatalogB:CatalogVersionB1";"Product-A1-1:CatalogA:CatalogVersionA1";"CategoryA1-1:CatalogA:CatalogVersionA1";;;
;"B1-keyword2";"en";"CatalogB:CatalogVersionB2";"Product-A1-1:CatalogA:CatalogVersionA1";"CategoryA1-1:CatalogA:CatalogVersionA1";;;
;;;;;;;;
"INSERT_UPDATE ProductReference";"qualifier[unique=true]";"source(code, catalogVersion(catalog(id),version))";"target(code, catalogVersion(catalog(id),version))";"active";"preselected";;;
;"pr1";"Product-A1-1:CatalogA:CatalogVersionA1";"Product-A1-2:CatalogA:CatalogVersionA1";"true";"true";;;
;"pr2";"Product-A1-1:CatalogA:CatalogVersionA1";"Product-A2-2:CatalogA:CatalogVersionA2";"true";"true";;;
;"pr3";"Product-A2-2:CatalogA:CatalogVersionA2";"Product-A1-1:CatalogA:CatalogVersionA1";"true";"true";;;
;"pr4";"Product-A1-11:CatalogA:CatalogVersionA1";"Product-B-5555:CatalogB:CatalogVersionB1";"true";"true";;;
;"pr5";"Product-A1-12:CatalogA:CatalogVersionA1";"Product-AB-inB:CatalogB:CatalogVersionB1";"true";"true";;;
;"pr6";"Product-A2-2:CatalogA:CatalogVersionA2";"Product-AB-inB:CatalogB:CatalogVersionB1";"true";"true";;;
;"pr7";"Product-A-11:CatalogA:CatalogVersionA1";"Product-A1-11:CatalogA:CatalogVersionA1";"true";"true";;;
;"pr8";"Product-AB-inB:CatalogB:CatalogVersionB1";"Product-B-5555:CatalogB:CatalogVersionB1";"true";"true";;;
;"pr9";"Product-A1-1:CatalogA:CatalogVersionA1";"Product-AB-inC:CatalogC:CatalogVersionC1";"true";"true";;;
;"pr10";"Product-B-5555:CatalogB:CatalogVersionB1";"Product-A2-2:CatalogA:CatalogVersionA2";"true";"true";;;
